lcd_id,lcd_version,related_num,r_ncd_id,r_ncd_version,last_updated
39237,10,1,322,1,2025-04-29 23:04:24.050000000
39240,7,1,0,1,2025-04-29 23:04:17.620000000
39242,7,1,0,1,2025-04-29 23:04:17.620000000
39256,5,1,0,1,2025-04-29 23:04:15.440000000
39256,7,1,0,1,2025-04-29 23:04:15.443000000
39258,8,1,171,1,2024-08-01 20:16:44.477000000
39258,10,1,171,1,2024-08-01 20:16:44.477000000
39258,12,1,171,1,2025-04-29 23:04:24.053000000
39260,5,1,0,1,2025-04-29 23:04:24.053000000
39262,5,1,0,1,2025-04-29 23:04:17.620000000
39262,7,1,0,1,2025-04-29 23:04:17.623000000
39264,5,1,0,1,2025-04-29 23:04:17.623000000
39264,7,1,0,1,2025-04-29 23:04:17.627000000
39266,3,1,0,1,2025-04-29 23:04:24.057000000
39268,7,1,256,1,2025-04-29 23:04:24.057000000
39270,4,1,366,2,2024-08-05 17:32:26.070000000
39270,4,2,1,3,2024-08-05 17:33:03.593000000
39270,8,1,366,1,2025-04-29 23:04:24.057000000
39270,8,2,1,1,2025-04-29 23:04:24.060000000
39276,5,1,0,1,2025-04-29 23:04:19.693000000
39276,6,1,0,1,2025-04-29 23:04:19.697000000
39276,7,1,0,1,2025-04-29 23:04:19.697000000
39276,8,1,0,1,2025-04-29 23:04:19.697000000
39284,11,1,152,1,2025-04-29 23:04:19.700000000
39284,11,2,268,1,2025-04-29 23:04:19.700000000
39297,3,1,0,1,2025-04-29 23:04:23.530000000
39314,7,1,158,1,2025-04-29 23:04:23.490000000
39345,3,1,0,1,2025-04-29 23:04:15.443000000
39356,3,1,0,1,2025-04-29 23:04:19.197000000
39356,5,1,0,1,2025-04-29 23:04:19.197000000
39365,80,1,281,7,2023-05-03 19:46:56.003000000
39365,80,2,372,2,2023-05-03 19:47:10.943000000
39365,80,3,198,1,2023-05-03 19:47:22.987000000
39365,131,1,198,1,2025-04-29 23:04:23.443000000
39365,131,2,281,1,2025-04-29 23:04:23.447000000
39365,131,3,372,1,2025-04-29 23:04:23.450000000
39365,149,1,281,7,2024-12-11 19:24:34.440000000
39365,149,2,198,1,2024-12-11 19:24:47.607000000
39365,149,3,372,2,2024-12-11 19:24:59.743000000
39367,16,1,281,7,2023-05-03 19:46:56.003000000
39367,16,2,372,2,2023-05-03 19:47:10.943000000
39367,16,3,198,1,2023-05-03 19:47:22.987000000
39367,28,1,198,1,2025-04-29 23:04:16.947000000
39367,28,2,281,1,2025-04-29 23:04:16.947000000
39367,28,3,372,1,2025-04-29 23:04:16.950000000
39367,41,1,281,7,2024-12-11 19:24:34.440000000
39367,41,2,198,1,2024-12-11 19:24:47.607000000
39367,41,3,372,2,2024-12-11 19:24:59.743000000
39373,3,1,0,1,2025-04-29 23:04:17.627000000
39375,3,1,0,1,2025-04-29 23:04:17.630000000
39383,10,1,0,1,2025-04-29 23:04:19.700000000
39383,11,1,0,1,2025-04-29 23:04:19.703000000
39385,6,1,0,1,2025-04-29 23:04:24.060000000
39387,8,1,0,1,2025-04-29 23:04:24.063000000
39389,4,1,0,1,2025-04-29 23:04:19.703000000
39391,6,1,0,1,2025-04-29 23:04:24.063000000
39396,3,1,366,1,2025-04-29 23:04:17.630000000
39396,3,2,1,1,2025-04-29 23:04:17.633000000
39398,3,1,366,1,2025-04-29 23:04:17.633000000
39398,3,2,1,1,2025-04-29 23:04:17.637000000
39400,8,1,0,1,2025-04-29 23:04:24.067000000
39402,14,1,0,1,2025-04-29 23:04:24.067000000
39420,4,1,177,1,2025-04-29 23:04:24.067000000
39424,6,1,0,1,2025-04-29 23:04:15.447000000
39427,5,1,0,1,2025-04-29 23:04:19.707000000
39434,5,1,366,1,2025-04-29 23:04:19.707000000
39434,5,2,1,1,2025-04-29 23:04:19.710000000
39434,6,1,366,1,2025-04-29 23:04:19.710000000
39434,6,2,1,1,2025-04-29 23:04:19.710000000
